brand,model,fuel,build_year,mileage_km,transmission,body_type,title,price_cents,url
Alfa Romeo,MiTo,Diesel,2012,256000,Handgeschakeld,Hatchback,Alfa Romeo MiTo sport uitvoering! 1.3 D 62KW 2012 zwart,275000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2401054568-alfa-romeo-mito-sport-uitvoering-1-3-d-62kw-2012-zwart
Alfa Romeo,,,,,,,Fiat Stilo Abarth 2.4 20V (2002) – Grijs Metallic – Lage km,75000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2411021075-fiat-stilo-abarth-2-4-20v-2002-grijs-metallic-lage-km
Alfa Romeo,Giulietta,Benzine,2013,127332,Handgeschakeld,Hatchback,Alfa Romeo Giulietta 1.7 Quadrifoglio Verde Volled. Historie,1399500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2411019770-alfa-romeo-giulietta-1-7-quadrifoglio-verde-volled-historie
Alfa Romeo,Stelvio,Benzine,2019,86853,Automaat,SUV of Terreinwagen,Alfa Romeo Stelvio 2.0 T AWD B-Tech | Panorama | Veloce Seat,3495000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2411019304-alfa-romeo-stelvio-2-0-t-awd-b-tech-panorama-veloce-seat
Alfa Romeo,MiTo,Diesel,2013,276909,Handgeschakeld,Hatchback,Alfa Romeo MiTo BJR 2013 1.3 85 PK JTDm ECO Distinctive LEER,289900,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2411019057-alfa-romeo-mito-bjr-2013-1-3-85-pk-jtdm-eco-distinctive-leer
Alfa Romeo,MiTo,Benzine,2010,169989,Handgeschakeld,Hatchback,Alfa Romeo MiTo 1.4 16V 77KW Multi AIR 2010 Zwart,374900,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2411018901-alfa-romeo-mito-1-4-16v-77kw-multi-air-2010-zwart
Alfa Romeo,GT,Benzine,2006,158800,Handgeschakeld,Coupé,Alfa Romeo GT 2.0 JTS 2006 Grijs,250000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2411008896-alfa-romeo-gt-2-0-jts-2006-grijs
Alfa Romeo,Junior,Elektrisch,2025,7793,Automaat,SUV of Terreinwagen,Alfa Romeo Junior Elettrica 54 kWh Carplay Clima,2640000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2411004990-alfa-romeo-junior-elettrica-54-kwh-carplay-clima
Alfa Romeo,GT,Benzine,2008,131599,Handgeschakeld,Coupé,Alfa Romeo GT BWJ 2008 | 2.0 JTS 166PK Imola | LEER | CLIMA,594400,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2411004098-alfa-romeo-gt-bwj-2008-2-0-jts-166pk-imola-leer-clima
Alfa Romeo,MiTo,Diesel,2013,206649,Handgeschakeld,Hatchback,Alfa Romeo MiTo 1.3 JTDm ECO Distinctive *LEATHER | SPORTSEA,394500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2411003218-alfa-romeo-mito-1-3-jtdm-eco-distinctive-leather-sportsea
